,Year,Type,County,Ag District,Ag District Code,ACRES HARVESTED,ACRES PLANTED,"ACRES PLANTED, NET","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","YIELD, MEASURED IN BU / NET PLANTED ACRE"
0,2000,"WHEAT, SPRING, (EXCL DURUM)",ADAMS,SOUTHWEST,70,121000.0,127000.0,,3741000.0,30.9,
1,2000,"WHEAT, SPRING, (EXCL DURUM)",BARNES,EAST CENTRAL,60,262000.0,270000.0,,10680000.0,40.8,
2,2000,"WHEAT, SPRING, (EXCL DURUM)",BENSON,NORTH CENTRAL,20,105000.0,115000.0,,3397000.0,32.4,
3,2000,"WHEAT, SPRING, (EXCL DURUM)",BILLINGS,SOUTHWEST,70,20000.0,21000.0,,615000.0,30.8,
4,2000,"WHEAT, SPRING, (EXCL DURUM)",BOTTINEAU,NORTH CENTRAL,20,135000.0,145000.0,,4616000.0,34.2,
5,2000,"WHEAT, SPRING, (EXCL DURUM)",BOWMAN,SOUTHWEST,70,69000.0,79000.0,,1969000.0,28.5,
6,2000,"WHEAT, SPRING, (EXCL DURUM)",BURKE,NORTHWEST,10,62000.0,67000.0,,1674000.0,27.0,
7,2000,"WHEAT, SPRING, (EXCL DURUM)",BURLEIGH,SOUTH CENTRAL,80,110000.0,115000.0,,3134000.0,28.5,
8,2000,"WHEAT, SPRING, (EXCL DURUM)",CASS,EAST CENTRAL,60,307000.0,325000.0,,13463000.0,43.9,
9,2000,"WHEAT, SPRING, (EXCL DURUM)",CAVALIER,NORTHEAST,30,300000.0,315000.0,,12601000.0,42.0,
10,2000,"WHEAT, SPRING, (EXCL DURUM)",DICKEY,SOUTHEAST,90,80000.0,82000.0,,3573000.0,44.7,
11,2000,"WHEAT, SPRING, (EXCL DURUM)",DIVIDE,NORTHWEST,10,11000.0,11000.0,,358000.0,32.5,
12,2000,"WHEAT, SPRING, (EXCL DURUM)",DUNN,WEST CENTRAL,40,124000.0,130000.0,,3594000.0,29.0,
13,2000,"WHEAT, SPRING, (EXCL DURUM)",EDDY,CENTRAL,50,41000.0,53000.0,,1162000.0,28.3,
14,2000,"WHEAT, SPRING, (EXCL DURUM)",EMMONS,SOUTH CENTRAL,80,125000.0,130000.0,,3802000.0,30.4,
15,2000,"WHEAT, SPRING, (EXCL DURUM)",FOSTER,CENTRAL,50,82000.0,94000.0,,2789000.0,34.0,
16,2000,"WHEAT, SPRING, (EXCL DURUM)",GOLDEN VALLEY,SOUTHWEST,70,41000.0,46000.0,,1043000.0,25.4,
17,2000,"WHEAT, SPRING, (EXCL DURUM)",GRAND FORKS,NORTHEAST,30,236000.0,250000.0,,9919000.0,42.0,
18,2000,"WHEAT, SPRING, (EXCL DURUM)",GRANT,SOUTH CENTRAL,80,126000.0,130000.0,,4323000.0,34.3,
19,2000,"WHEAT, SPRING, (EXCL DURUM)",GRIGGS,EAST CENTRAL,60,79000.0,83000.0,,2798000.0,35.4,
20,2000,"WHEAT, SPRING, (EXCL DURUM)",HETTINGER,SOUTHWEST,70,211000.0,218000.0,,8496000.0,40.3,
21,2000,"WHEAT, SPRING, (EXCL DURUM)",KIDDER,CENTRAL,50,50000.0,53000.0,,1402000.0,28.0,
22,2000,"WHEAT, SPRING, (EXCL DURUM)",LA MOURE,SOUTHEAST,90,167000.0,174000.0,,6629000.0,39.7,
23,2000,"WHEAT, SPRING, (EXCL DURUM)",LOGAN,SOUTHEAST,90,78000.0,81000.0,,2772000.0,35.5,
24,2000,"WHEAT, SPRING, (EXCL DURUM)",MCHENRY,NORTH CENTRAL,20,141000.0,150000.0,,3761000.0,26.7,
25,2000,"WHEAT, SPRING, (EXCL DURUM)",MCINTOSH,SOUTHEAST,90,81000.0,83000.0,,2667000.0,32.9,
26,2000,"WHEAT, SPRING, (EXCL DURUM)",MCKENZIE,WEST CENTRAL,40,91000.0,94000.0,,2500000.0,27.5,
27,2000,"WHEAT, SPRING, (EXCL DURUM)",MCLEAN,WEST CENTRAL,40,164000.0,175000.0,,4617000.0,28.2,
28,2000,"WHEAT, SPRING, (EXCL DURUM)",MERCER,WEST CENTRAL,40,67000.0,70000.0,,1877000.0,28.0,
29,2000,"WHEAT, SPRING, (EXCL DURUM)",MORTON,SOUTH CENTRAL,80,170000.0,175000.0,,6303000.0,37.1,
30,2000,"WHEAT, SPRING, (EXCL DURUM)",MOUNTRAIL,NORTHWEST,10,25000.0,26000.0,,736000.0,29.4,
31,2000,"WHEAT, SPRING, (EXCL DURUM)",NELSON,NORTHEAST,30,110000.0,121000.0,,3242000.0,29.5,
32,2000,"WHEAT, SPRING, (EXCL DURUM)",OLIVER,WEST CENTRAL,40,59000.0,61000.0,,1682000.0,28.5,
33,2000,"WHEAT, SPRING, (EXCL DURUM)",PEMBINA,NORTHEAST,30,254000.0,270000.0,,12192000.0,48.0,
34,2000,"WHEAT, SPRING, (EXCL DURUM)",PIERCE,NORTH CENTRAL,20,105000.0,110000.0,,3022000.0,28.8,
35,2000,"WHEAT, SPRING, (EXCL DURUM)",RAMSEY,NORTHEAST,30,79000.0,83000.0,,2628000.0,33.3,
36,2000,"WHEAT, SPRING, (EXCL DURUM)",RANSOM,SOUTHEAST,90,79000.0,81000.0,,3212000.0,40.7,
37,2000,"WHEAT, SPRING, (EXCL DURUM)",RENVILLE,NORTHWEST,10,90000.0,100000.0,,2798000.0,31.1,
38,2000,"WHEAT, SPRING, (EXCL DURUM)",RICHLAND,SOUTHEAST,90,150000.0,154000.0,,7047000.0,47.0,
39,2000,"WHEAT, SPRING, (EXCL DURUM)",ROLETTE,NORTH CENTRAL,20,39000.0,40000.0,,1324000.0,33.9,
40,2000,"WHEAT, SPRING, (EXCL DURUM)",SARGENT,SOUTHEAST,90,80000.0,85000.0,,3270000.0,40.9,
41,2000,"WHEAT, SPRING, (EXCL DURUM)",SHERIDAN,CENTRAL,50,91000.0,100000.0,,2454000.0,27.0,
42,2000,"WHEAT, SPRING, (EXCL DURUM)",SIOUX,SOUTH CENTRAL,80,29000.0,30000.0,,798000.0,27.5,
43,2000,"WHEAT, SPRING, (EXCL DURUM)",SLOPE,SOUTHWEST,70,96000.0,101000.0,,3624000.0,37.8,
44,2000,"WHEAT, SPRING, (EXCL DURUM)",STARK,SOUTHWEST,70,192000.0,198000.0,,6712000.0,35.0,
45,2000,"WHEAT, SPRING, (EXCL DURUM)",STEELE,EAST CENTRAL,60,137000.0,142000.0,,5787000.0,42.2,
46,2000,"WHEAT, SPRING, (EXCL DURUM)",STUTSMAN,CENTRAL,50,238000.0,250000.0,,8867000.0,37.3,
47,2000,"WHEAT, SPRING, (EXCL DURUM)",TOWNER,NORTHEAST,30,73000.0,81000.0,,2562000.0,35.1,
48,2000,"WHEAT, SPRING, (EXCL DURUM)",TRAILL,EAST CENTRAL,60,145000.0,150000.0,,6742000.0,46.5,
49,2000,"WHEAT, SPRING, (EXCL DURUM)",WALSH,NORTHEAST,30,248000.0,270000.0,,11006000.0,44.4,
50,2000,"WHEAT, SPRING, (EXCL DURUM)",WARD,NORTHWEST,10,162000.0,168000.0,,5508000.0,34.0,
51,2000,"WHEAT, SPRING, (EXCL DURUM)",WELLS,CENTRAL,50,168000.0,220000.0,,5076000.0,30.2,
52,2000,"WHEAT, SPRING, (EXCL DURUM)",WILLIAMS,NORTHWEST,10,95000.0,98000.0,,3036000.0,32.0,
53,2000,"WHEAT, SPRING, DURUM",ADAMS,SOUTHWEST,70,14600.0,16000.0,,495000.0,33.9,
54,2000,"WHEAT, SPRING, DURUM",BARNES,EAST CENTRAL,60,2300.0,2600.0,,82000.0,35.7,
55,2000,"WHEAT, SPRING, DURUM",BENSON,NORTH CENTRAL,20,78000.0,115000.0,,1680000.0,21.5,
56,2000,"WHEAT, SPRING, DURUM",BILLINGS,SOUTHWEST,70,4400.0,4500.0,,125000.0,28.4,
57,2000,"WHEAT, SPRING, DURUM",BOTTINEAU,NORTH CENTRAL,20,134000.0,150000.0,,4204000.0,31.4,
