County,Station Name,Latitude,Longitude,Elevation,Year,Month,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing.1,Number Estimated.1,Avg Temp,Number Missing.2,Number Estimated.2,Avg Bare Soil Temp,Number Missing.3,Number Estimated.3,Avg Turf Soil Temp,Number Missing.4,Number Estimated.4,Avg Wind Speed,Number Missing.5,Number Estimated.5,Max Wind Speed,Number Missing.6,Number Estimated.6,Total Solar Rad,Number Missing.7,Number Estimated.7,Avg Penman PET,Number Missing.8,Number Estimated.8,Total Penman PET,Number Missing.9,Number Estimated.9,Total Rainfall,Number Missing.10,Number Estimated.10,Avg Dew Point,Number Missing.11,Number Estimated.11,Avg Wind Chill,Number Missing.12,Number Estimated.12
Slope,Amidon,46.48844,-103.31629,2882,2019,9,70.377,0,30,45.771,0,30,58.074,0,30,60.908,0,30,59.874,0,30,7.731,0,30,25.025,0,30,308.761,0,30,0.148,0,0,4.442,0,0,5.346,0,30,48.947,0,30,56.721,0,30
Slope,Amidon,46.48844,-103.31629,2882,2019,10,47.054,0,31,25.94,0,31,36.497,0,31,40.222,0,31,42.023,0,31,9.57,0,31,26.123,0,31,221.131,0,31,0.091,0,0,2.814,0,0,1.738,0,31,26.733,0,31,29.144,0,31
Slope,Amidon,46.48844,-103.31629,2882,2019,11,38.102,0,18,18.333,0,18,28.217,0,18,33.08,0,18,33.933,0,18,7.834,0,18,23.313,0,18,139.173,0,18,0.044,0,0,1.329,0,0,,30,0,23.065,0,18,21.766,0,18
Slope,Amidon,46.48844,-103.31629,2882,2019,12,33.246,0,0,15.826,0,0,24.536,0,0,31.501,0,0,32.356,0,0,7.637,0,0,19.481,0,0,109.875,0,0,0.033,0,0,1.013,0,0,,31,0,18.611,0,0,16.547,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,1,29.239,0,0,10.557,0,0,19.898,0,0,26.477,0,0,27.885,0,0,8.639,0,0,25.982,0,0,124.369,0,0,0.036,0,0,1.11,0,0,,31,0,13.703,0,0,10.174,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,2,34.241,0,0,11.666,0,0,22.954,0,0,28.837,0,0,28.904,0,0,8.172,0,0,22.345,0,0,219.407,0,0,0.063,0,0,1.835,0,0,,29,0,16.2,0,0,15.515,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,3,44.769,0,0,20.505,0,0,32.637,0,0,33.751,0,0,31.666,0,0,8.605,0,0,24.118,0,0,302.175,0,0,0.107,0,0,3.311,0,0,,31,0,22.387,0,0,25.805,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,4,51.291,0,0,22.662,0,0,36.977,0,0,38.442,0,0,35.076,0,0,9.36,0,0,27.859,0,0,457.965,0,0,0.181,0,0,5.439,0,0,0.34,0,0,22.97,0,0,32.086,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,5,64.433,0,0,37.692,0,0,51.063,0,0,53.049,0,0,50.444,0,0,9.39,0,0,27.175,0,0,506.593,0,0,0.215,0,0,6.666,0,0,1.37,0,0,39.854,0,0,49.912,0,0
Slope,Amidon,46.48844,-103.31629,2882,2020,6,78.642,0,0,49.183,0,0,63.913,0,0,65.349,0,0,61.925,0,0,8.134,0,0,25.19,0,0,556.745,0,0,0.278,0,0,8.328,0,0,1.52,0,0,50.488,0,0,64.306,0,0
