Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
Ada,47.32119,-96.51406,910,2008,48.805,0,0,27.007,0,0,37.906,0,0,46.136,0,0,44.29,0,0,9.331,0,0,23.172,0,0,327.078,0,3,0.123,0,0,44.847,0,0,23.991,152,0,30.436,0,0,32.039,0,0
Ada,47.32119,-96.51406,910,2009,48.829,0,0,28.264,0,0,38.546,0,0,46.188,0,0,43.826,0,0,8.877,0,0,21.612,0,0,315.992,0,0,0.116,0,0,42.469,0,0,16.13,151,1,31.454,0,15,33.258,0,1
Ada,47.32119,-96.51406,910,2010,52.036,0,0,31.599,0,0,41.818,0,0,49.226,0,0,46.901,0,0,8.699,0,0,21.619,0,0,315.742,0,0,0.124,0,0,45.29,0,0,23.359,155,1,34.287,0,0,37.458,0,0
Ada,47.32119,-96.51406,910,2011,51.884,0,0,30.835,0,0,41.359,0,0,48.846,0,0,46.514,0,0,9.043,0,0,22.533,0,0,330.723,0,0,0.13,0,0,47.308,0,0,13.587,151,0,33.075,0,1,36.16,0,1
Ada,47.32119,-96.51406,910,2012,55.731,0,0,32.972,0,0,44.352,0,0,49.627,0,0,47.565,0,0,9.059,0,0,22.627,0,0,317.275,0,0,0.154,0,0,56.535,0,0,11.336,152,0,33.811,0,0,40.149,0,0
Ada,47.32119,-96.51406,910,2013,48.424,0,0,27.032,0,1,37.728,0,1,45.294,0,0,44.413,0,0,9.109,0,0,21.866,0,0,317.986,0,3,0.121,0,0,44.006,0,0,17.18,151,13,30.343,0,77,32.144,0,1
Ada,47.32119,-96.51406,910,2014,48.503,0,2,27.576,0,2,38.04,0,2,45.394,0,1,44.71,0,1,9.688,0,1,23.605,0,2,304.472,0,2,0.115,0,0,41.926,0,0,18.255,151,1,30.611,0,1,31.747,0,1
Ada,47.32119,-96.51406,910,2015,54.348,0,0,31.68,0,0,43.014,0,0,47.682,0,1,45.379,0,0,9.223,0,1,22.954,0,0,312.893,0,4,0.136,0,0,49.782,0,0,15.066,151,0,34.073,0,1,38.185,0,1
Ada,47.32119,-96.51406,910,2016,54.584,0,1,33.986,0,1,44.286,0,1,50.07,0,1,47.797,0,1,8.827,0,0,23.128,0,0,314.308,0,1,0.131,0,0,47.785,0,0,25.081,152,0,36.174,0,1,39.836,0,1
Ada,47.32119,-96.51406,910,2017,53.238,0,1,31.195,0,0,42.217,0,1,48.857,0,1,45.573,0,1,8.34,0,1,22.44,0,0,319.47,0,2,0.13,0,0,47.564,0,0,15.709,151,0,33.47,0,1,37.369,0,1
Ada,47.32119,-96.51406,910,2018,50.351,0,0,29.135,0,2,39.743,0,2,48.711,0,1,46.04,0,1,8.245,0,1,21.837,0,0,334.125,0,2,0.125,0,0,45.774,0,0,16.869,151,0,32.102,0,1,34.747,0,1
Ada,47.32119,-96.51406,910,2019,47.615,0,0,28.107,0,1,37.861,0,1,47.205,0,1,44.431,0,1,8.121,0,1,22.114,0,0,313.489,0,1,0.108,0,0,39.497,0,0,21.733,151,0,31.304,0,1,32.822,0,1
Ada,47.32119,-96.51406,910,2020,51.717,0,0,30.114,0,0,40.916,0,0,47.648,0,2,45.793,0,2,8.259,0,2,23.017,0,0,337.767,0,2,0.129,0,0,47.328,0,0,15.808,152,0,32.979,0,2,36.505,0,2
Ada,47.32119,-96.51406,910,2021,55.159,0,0,32.665,0,0,43.912,0,0,48.716,0,5,46.332,0,4,8.043,0,4,22.353,0,0,333.356,0,4,0.146,0,0,53.313,0,0,15.437,151,0,33.428,0,4,39.676,0,4
Ada,47.32119,-96.51406,910,2022,49.301,0,2,28.46,0,2,38.881,0,2,48.002,0,1,46.183,0,1,9.197,0,1,23.908,0,2,323.464,0,1,0.145,0,0,52.827,0,0,20.358,151,0,31.15,0,1,33.086,0,1
Adams,48.49988,-98.07588,1580,2019,45.131,0,169,25.688,0,169,35.41,0,169,41.452,0,1,40.66,0,2,9.119,0,1,22.903,0,169,317.884,0,1,0.111,0,0,40.672,0,0,17.475,151,78,27.921,0,2,28.091,0,1
Adams,48.49988,-98.07588,1580,2020,48.817,0,0,27.863,0,0,38.34,0,0,43.855,0,2,42.482,0,2,9.177,0,1,24.256,0,0,327.869,0,2,0.121,0,0,44.442,0,0,12.259,152,0,30.7,0,1,32.356,0,1
Adams,48.49988,-98.07588,1580,2021,51.374,0,1,28.822,0,1,40.098,0,1,46.318,0,5,45.07,0,4,9.218,0,4,24.131,0,1,317.948,0,4,0.14,0,0,50.937,0,0,15.985,151,1,30.536,0,4,34.673,0,4
Adams,48.49988,-98.07588,1580,2022,45.281,0,5,25.954,0,7,35.618,0,7,42.356,0,4,41.085,0,3,9.972,0,3,24.996,0,3,311.748,0,3,0.127,0,0,46.288,0,0,20.375,151,0,28.898,0,5,28.348,0,5
Alamo,48.54652,-103.47186,2157,2018,49.591,0,0,26.261,0,0,37.926,0,0,44.888,0,1,43.575,0,1,7.352,0,6,21.824,0,5,326.189,0,1,0.125,0,0,45.445,0,0,11.574,151,0,29,0,1,33.448,0,6
Alamo,48.54652,-103.47186,2157,2019,48.577,0,0,25.424,0,0,37.001,0,0,44.61,0,1,43.387,0,1,7.96,0,1,23.245,0,0,309.364,0,1,0.121,0,0,44.269,0,0,15.303,151,0,28.333,0,1,31.683,0,1
Alamo,48.54652,-103.47186,2157,2020,53.161,0,0,27.378,0,0,40.27,0,0,45.897,0,1,43.747,0,1,8.493,0,1,24.693,0,0,322.042,0,1,0.149,0,0,54.534,0,0,6.12,152,0,29.524,0,1,35.819,0,1
Alamo,48.54652,-103.47186,2157,2021,54.413,0,0,28.259,0,0,41.336,0,0,47.619,0,3,45.902,0,3,8.513,0,3,24.574,0,0,326.142,0,3,0.161,0,0,58.912,0,0,9.633,151,0,28.104,0,3,36.551,0,3
Alamo,48.54652,-103.47186,2157,2022,49.766,0,4,26.06,0,4,37.913,0,4,45.537,0,0,43.694,0,0,9.379,0,0,25.467,0,4,344.615,0,0,0.162,0,0,59.192,0,0,14.183,151,0,28.231,0,0,31.485,0,0
Alvarado,48.24594,-97.02153,809,2022,48.027,0,11,27.584,0,11,37.805,0,11,44.661,0,12,45.385,0,10,10.072,0,10,25.289,0,11,305.826,0,9,0.138,0,0,50.483,0,0,19.414,151,0,30.047,0,10,31.05,0,10
Amidon,46.48844,-103.31629,2882,2020,56.928,0,0,30.522,0,0,43.726,0,0,45.912,0,0,45.642,0,0,8.304,0,0,24.816,0,0,352.957,0,0,0.165,0,0,60.362,0,0,9.263,152,0,31.507,0,0,39.607,0,0
Amidon,46.48844,-103.31629,2882,2021,58.881,0,0,31.549,0,0,45.215,0,0,47.3,0,3,46.855,0,3,8.558,0,3,24.908,0,0,349.668,0,4,0.18,0,0,65.765,0,0,11.66,151,0,30.344,0,3,41.103,0,3
Amidon,46.48844,-103.31629,2882,2022,53.903,0,4,29.314,0,4,41.608,0,4,45.828,0,6,45.602,0,5,9.411,0,5,25.996,0,4,370.424,0,32,0.184,0,0,67.266,0,0,15.914,151,3,30.008,0,5,35.8,0,5
Arnegard,47.93947,-103.45565,2254,2020,55.24,0,0,33.816,0,0,44.528,0,0,48.422,0,1,48.286,0,1,8.616,0,1,24.433,0,0,339.908,0,1,0.169,0,0,62.03,0,0,4.891,152,0,30.618,0,1,39.79,0,1
Arnegard,47.93947,-103.45565,2254,2021,56.879,0,0,35.018,0,0,45.949,0,0,49.779,0,1,49.636,0,1,8.724,0,1,24.256,0,0,337.726,0,4,0.183,0,0,66.842,0,0,7.543,151,1,29.429,0,1,41.179,0,1
Arnegard,47.93947,-103.45565,2254,2022,52.051,0,2,31.617,0,2,41.834,0,2,47.949,0,1,47.873,0,2,9.439,0,1,25.416,0,2,328.143,0,1,0.18,0,0,65.787,0,0,12.217,151,0,29.15,0,1,35.632,0,1
Ayr,47.04639,-97.49481,1215,2022,49.9,0,2,28.934,0,2,39.417,0,2,47.083,0,2,44.253,0,2,10.234,0,2,25.745,0,2,336.487,0,2,0.154,0,0,56.271,0,0,17.749,151,0,31.08,0,2,32.501,0,2
Baker,48.16713,-99.64839,1703,1994,48.4,0,0,28.78,0,14,38.59,0,14,45.552,0,2,45.041,0,0,10.77,0,0,24.865,0,0,333.631,0,0,0.13,0,0,47.479,0,0,22.67,151,0,29.769,0,2,31.289,0,2
Baker,48.16713,-99.64839,1703,1995,46.683,0,4,28.248,0,12,37.465,0,12,46.071,0,1,45.599,0,1,10.536,0,11,23.644,0,10,320.198,0,2,0.115,0,0,42.004,0,0,10.121,151,2,30.806,0,3,30.105,0,12
Baker,48.16713,-99.64839,1703,1996,43.984,0,7,24.827,0,28,34.406,0,29,45.281,0,0,45.065,0,2,9.258,0,4,22.327,0,3,332.171,0,0,0.107,0,0,39.115,0,0,13.15,152,23,27.504,0,7,26.765,0,8
Baker,48.16713,-99.64839,1703,1997,49.222,0,4,29.273,0,18,39.248,0,18,47.753,0,0,47.373,0,0,10.204,0,85,24.58,0,83,345.904,0,0,0.134,0,0,48.986,0,0,14.22,151,1,30.56,0,0,32.444,0,85
Baker,48.16713,-99.64839,1703,1998,50.977,0,3,32.751,0,9,41.864,0,9,48.709,0,0,48.204,0,0,9.951,0,7,22.631,0,7,326.649,0,0,0.132,0,0,48.186,0,0,13.33,151,0,33.683,0,2,35.724,0,9
Baker,48.16713,-99.64839,1703,1999,50.775,0,26,31.555,0,0,41.165,0,26,46.165,0,1,45.835,0,1,10.269,0,0,23.659,0,0,326.88,0,0,0.125,0,0,45.654,0,0,16.582,151,4,33.174,0,0,34.867,0,0
Baker,48.16713,-99.64839,1703,2000,49.859,0,1,29.643,0,0,39.751,0,1,47.571,0,1,46.943,0,1,10.256,0,14,24.186,0,12,295.748,0,2,0.124,0,0,45.338,0,0,18.081,152,15,31.379,0,1,33.116,0,14
Baker,48.16713,-99.64839,1703,2001,50.788,0,0,30.927,0,0,40.858,0,0,47.533,0,1,46.327,0,1,9.397,0,6,22.03,0,4,326.962,0,1,0.123,0,0,44.778,0,0,12.05,151,9,33.04,0,1,34.491,0,6
Baker,48.16713,-99.64839,1703,2002,48.794,0,0,29.153,0,0,38.974,0,0,44.221,0,0,43.53,0,0,10.413,0,0,24.225,0,0,322.939,0,1,0.126,0,0,46.04,0,0,13.412,151,9,30.836,0,1,32.149,0,1
Baker,48.16713,-99.64839,1703,2003,49.396,0,0,28.264,0,0,38.83,0,0,46.618,0,1,45.418,0,1,9.779,0,12,23.029,0,11,322.342,0,1,0.129,0,0,47.113,0,0,13.01,154,7,29.8,0,1,31.997,0,12
Baker,48.16713,-99.64839,1703,2004,48.361,0,0,28.225,0,0,38.293,0,0,46.797,0,1,46.192,0,1,10.571,0,12,24.29,0,11,312.147,0,4,0.121,0,0,44.129,0,0,14.406,152,30,30.298,0,0,31.282,0,12
Baker,48.16713,-99.64839,1703,2005,50.607,0,5,30.943,0,5,40.775,0,6,48.466,0,6,46.179,1,5,9.875,0,0,23.11,0,0,315.436,0,1,0.122,0,0,44.698,0,0,20.451,151,4,32.763,1,6,34.464,1,6
Baker,48.16713,-99.64839,1703,2006,52.928,0,0,32.262,0,0,42.595,0,0,47.619,0,1,45.347,0,1,10.509,0,3,24.467,0,2,318.954,0,1,0.145,0,0,52.874,0,0,8.06,151,0,33.223,0,2,36.36,0,4
Baker,48.16713,-99.64839,1703,2007,50.531,0,0,29.628,0,0,40.08,0,0,47.464,0,0,45.924,0,0,10.759,0,10,24.957,0,10,317.163,0,0,0.138,0,0,50.345,0,0,18.101,151,9,31.195,0,1,33.479,2,9
Baker,48.16713,-99.64839,1703,2008,47.773,0,0,26.801,0,0,37.287,0,0,45.248,0,0,43.765,0,0,10.811,0,13,24.74,0,12,333.245,0,1,0.135,0,0,49.516,0,0,20.925,152,7,27.884,0,0,29.93,0,12
Baker,48.16713,-99.64839,1703,2009,46.933,0,0,27.957,0,0,37.445,0,0,43.699,0,0,42.37,0,0,8.86,0,0,21.033,0,0,327.542,0,0,0.117,0,0,42.575,0,0,14.757,151,1,28.752,0,1,30.622,0,1
Baker,48.16713,-99.64839,1703,2010,49.8,0,0,30.818,0,0,40.31,0,0,47.121,0,0,46.513,0,0,8.807,0,0,21.251,0,0,318.338,0,1,0.128,0,0,46.793,0,0,20.654,155,1,31.3,0,0,34.843,0,0
Baker,48.16713,-99.64839,1703,2011,49.038,0,0,29.769,0,1,39.404,0,1,47.072,0,0,46.057,0,0,10.662,0,0,24.345,0,0,325.622,0,0,0.125,0,0,45.694,0,0,18.248,151,0,31.252,0,1,32.452,0,1
Baker,48.16713,-99.64839,1703,2012,52.671,0,0,32.026,0,1,42.349,0,1,48.408,0,0,46.123,0,0,10.687,0,5,24.604,0,5,315.671,0,0,0.142,0,0,52.059,0,0,13.617,152,0,33.094,0,0,36.264,0,5
Baker,48.16713,-99.64839,1703,2013,46.342,0,2,26.963,0,3,36.652,0,3,46.103,0,2,44.419,0,2,9.057,0,5,21.203,0,5,338.582,0,3,0.11,0,0,40.238,0,0,22.283,151,15,29.235,0,3,29.436,0,6
Baker,48.16713,-99.64839,1703,2014,47.58,0,0,27.701,0,0,37.641,0,0,46.152,0,1,44.755,0,1,9.867,0,19,23.196,0,18,320.168,0,2,0.121,0,0,44.144,0,0,14.633,151,1,29.39,0,1,30.584,0,19
Baker,48.16713,-99.64839,1703,2015,53.028,0,1,31.945,0,1,42.487,0,1,48.393,0,1,46.58,0,1,9.058,0,7,22.921,0,6,325.127,0,3,0.133,0,0,48.405,0,0,15.997,151,0,32.895,0,1,36.427,0,7
Baker,48.16713,-99.64839,1703,2016,52.953,0,1,33.234,0,1,43.094,0,1,48.812,0,0,47.005,0,0,10.065,0,0,24.442,0,0,330.379,0,5,0.135,0,0,49.262,0,0,17.562,152,10,34.552,0,1,37.185,0,1
Baker,48.16713,-99.64839,1703,2017,49.896,0,0,29.557,0,2,39.727,0,2,47.848,0,1,45.172,0,1,10.51,0,1,24.923,0,0,351.982,0,3,0.142,0,0,51.907,0,0,8.015,151,2,30.314,0,1,32.976,0,1
Baker,48.16713,-99.64839,1703,2018,48.284,0,0,27.792,0,1,38.038,0,1,47.114,0,0,44.393,0,0,8.099,0,2,21.269,0,2,347.319,0,0,0.124,0,0,45.403,0,0,13.534,151,0,29.381,0,0,31.907,0,2
Baker,48.16713,-99.64839,1703,2019,45.681,0,2,26.959,0,4,36.32,0,4,46.12,0,2,43.546,0,2,9.65,0,2,23.871,0,0,326.12,0,2,0.119,0,0,43.433,0,0,17.479,151,0,28.523,0,4,29.277,0,4
