Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
,deg,deg,ft,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,mph,,,mph,,,Lys,,,inch,,,inch,,,inch,,,Degrees F,,,Degrees F,,
Carrington,47.50865,-99.13215,1561,1991,52.886,0,6,30.693,0,9,41.789,0,9,48.299,0,17,46.008,0,111,9.418,0,13,19.103,0,6,310.281,0,16,0.137,0,0,49.839,0,0,20.026,151,3,32.979,0,16,36.269,0,16
Carrington,47.50865,-99.13215,1561,1992,51.444,0,10,29.864,0,24,40.654,0,24,46.216,0,16,45.045,0,16,9.691,0,16,19.266,0,9,309.763,0,13,0.135,0,0,49.337,0,0,8.518,152,10,32.03,0,15,34.651,0,15
Carrington,47.50865,-99.13215,1561,1993,48.234,0,12,27.861,0,28,38.048,0,31,44.405,0,58,43.684,0,59,8.79,0,35,21.711,0,29,320.843,0,28,0.116,0,0,42.358,0,0,23.54,151,16,29.649,0,12,31.945,0,37
Carrington,47.50865,-99.13215,1561,1994,49.737,0,3,28.873,0,15,39.305,0,15,47.57,0,6,46.294,0,7,9.492,0,6,23.171,0,3,334.237,0,6,0.128,0,0,46.641,0,0,15.557,151,35,30.035,0,19,33.1,0,9
Carrington,47.50865,-99.13215,1561,1995,48.234,0,10,28.928,0,22,38.582,0,22,45.856,0,0,45.209,0,0,9.566,0,0,22.931,0,0,314.285,0,0,0.113,0,0,41.362,0,0,15.75,151,0,32.097,0,11,32.261,0,10
Carrington,47.50865,-99.13215,1561,1996,45.176,0,11,24.944,0,35,35.06,0,36,44.311,0,1,43.31,0,2,9.851,0,1,23.175,0,0,333.117,0,1,0.122,0,0,44.497,0,0,13.35,152,3,26.818,0,8,27.358,0,8
Carrington,47.50865,-99.13215,1561,1997,50.048,0,4,29.018,1,18,39.563,1,18,46.735,0,0,45.39,0,2,10.085,0,11,23.959,0,9,339.568,0,0,0.135,0,0,49.205,0,0,9.858,151,8,31.066,0,3,33.042,0,13
Carrington,47.50865,-99.13215,1561,1998,52.438,0,2,32.708,0,14,42.574,0,14,47.965,0,1,47.633,0,1,9.052,0,29,21.967,0,29,319.398,0,1,0.131,0,0,47.733,0,0,11.3,151,1,34.357,0,1,37.23,0,29
Carrington,47.50865,-99.13215,1561,1999,52.419,1,21,31.39,1,0,41.904,1,21,46.844,0,0,45.788,0,0,9.783,0,7,23.539,0,8,323.382,0,0,0.128,0,0,46.63,0,0,17.284,151,4,33.915,0,0,36.379,0,7
Carrington,47.50865,-99.13215,1561,2000,51.19,0,0,29.433,0,0,40.312,0,0,47.582,0,0,46.396,0,1,9.411,0,8,23.091,0,7,324.477,0,0,0.129,0,0,47.359,0,0,17.921,152,30,32.262,0,1,34.545,0,9
Carrington,47.50865,-99.13215,1561,2001,52.109,0,0,31.385,0,0,41.747,0,0,47.073,0,1,46.441,0,1,9.519,0,5,22.861,0,3,331.764,0,1,0.128,0,0,46.764,0,0,16.265,151,13,34.17,0,1,35.988,0,5
Carrington,47.50865,-99.13215,1561,2002,50.795,0,0,29.912,0,0,40.354,0,0,45.345,0,1,44.418,0,1,9.737,0,1,23.718,0,0,313.35,0,1,0.128,0,0,46.772,0,0,12.397,151,61,32.029,0,2,34.196,0,2
Carrington,47.50865,-99.13215,1561,2003,50.789,0,0,28.976,0,0,39.883,0,0,46.582,0,0,45.833,0,0,9.674,0,2,23.129,0,2,311.571,0,0,0.126,0,0,45.858,0,0,15.49,154,8,32.238,0,0,33.821,0,2
Carrington,47.50865,-99.13215,1561,2004,50.263,0,0,29.26,0,0,39.762,0,0,46.283,0,0,45.57,0,0,9.686,0,1,23.209,0,1,310.275,0,1,0.121,0,0,44.13,0,0,15.58,152,0,32.284,0,1,33.705,0,2
Carrington,47.50865,-99.13215,1561,2005,52.512,0,0,31.054,0,0,41.783,0,0,48.393,0,0,46.632,1,0,9.874,0,0,23.712,0,0,300.613,0,0,0.135,0,0,49.361,0,0,12.781,151,1,32.713,1,1,36.2,1,1
Carrington,47.50865,-99.13215,1561,2006,54.428,0,0,32.278,0,0,43.353,0,0,48.65,0,0,47.299,0,0,9.71,0,4,23.554,0,4,292.063,0,4,0.139,0,0,50.717,0,0,11.72,151,0,33.975,0,1,37.821,0,4
Carrington,47.50865,-99.13215,1561,2007,51.663,0,0,30.048,0,0,40.856,0,0,47.657,0,1,46.924,0,1,9.958,0,1,23.663,0,1,299.75,0,4,0.129,0,0,47.266,0,0,17.399,151,9,32.66,0,1,34.9,0,2
Carrington,47.50865,-99.13215,1561,2008,49.651,0,0,26.807,0,0,38.229,0,0,46.383,0,0,45.191,0,0,10.025,0,0,24.346,0,0,325.294,0,0,0.135,0,0,49.329,0,0,16.937,152,4,29.044,0,1,31.785,0,1
Carrington,47.50865,-99.13215,1561,2009,47.879,0,1,27.288,0,1,37.583,0,1,47.369,0,1,45.915,0,1,9.214,0,22,22.052,0,18,324.575,0,1,0.118,0,0,42.895,0,0,13.328,151,2,30.29,0,2,31.422,0,19
Carrington,47.50865,-99.13215,1561,2010,50.646,0,0,30.56,0,0,40.603,0,0,49.569,0,1,48.2,0,0,9.403,0,1,22.64,0,0,321.738,0,1,0.125,0,0,45.473,0,0,15.896,155,18,33.67,0,0,35.346,0,0
Carrington,47.50865,-99.13215,1561,2011,50.062,0,0,30.198,0,1,40.13,0,1,46.915,0,3,46.161,0,2,9.814,0,0,24.171,0,0,329.669,0,0,0.121,0,0,44.018,0,0,21.18,151,0,33.064,0,4,34.243,0,4
Carrington,47.50865,-99.13215,1561,2012,54.091,0,0,31.945,0,0,43.018,0,0,48.895,0,0,48.159,0,0,9.092,0,5,22.637,0,5,326.07,0,0,0.14,0,0,51.083,0,0,13.86,152,0,34.117,0,0,38.176,0,5
Carrington,47.50865,-99.13215,1561,2013,47.472,0,0,26.211,0,1,36.842,0,1,45.945,0,0,45.436,0,0,9.168,0,18,22.098,0,18,331.554,0,0,0.117,0,0,42.759,0,0,13.716,151,14,29.579,0,1,30.513,0,19
Carrington,47.50865,-99.13215,1561,2014,48.529,0,3,27.686,0,3,38.107,0,3,45.595,0,2,44.545,0,2,10.119,0,61,24.304,0,60,317.997,0,2,0.122,0,0,44.353,0,0,12.951,151,1,29.894,0,3,31.222,0,62
Carrington,47.50865,-99.13215,1561,2015,53.556,0,0,31.413,0,0,42.485,0,0,47.703,0,0,47.115,0,0,9.381,0,13,23.271,0,13,318.792,0,0,0.139,0,0,50.827,0,0,14.971,151,0,33.068,0,0,37.222,0,13
Carrington,47.50865,-99.13215,1561,2016,53.901,0,2,33.108,0,1,43.505,0,3,49.571,0,0,48.575,0,0,9.555,0,0,23.649,0,0,317.304,0,0,0.134,0,0,49.129,0,0,16.244,152,0,34.986,0,3,38.328,0,2
Carrington,47.50865,-99.13215,1561,2017,52.184,0,0,30.394,0,0,41.289,0,0,49.024,0,2,47.073,0,1,9.072,0,1,23.177,0,0,333.221,0,1,0.136,0,0,49.517,0,0,13.261,151,0,32.278,0,1,35.742,0,1
Carrington,47.50865,-99.13215,1561,2018,50.187,0,0,28.552,0,3,39.37,0,3,47.615,0,2,45.196,0,2,8.703,0,2,22.596,0,0,334.217,0,2,0.13,0,0,47.585,0,0,10.911,151,0,31.013,0,2,33.551,0,2
Carrington,47.50865,-99.13215,1561,2019,47.114,0,0,27.38,0,1,37.247,0,1,45.463,0,4,43.428,0,4,8.595,0,4,22.689,0,0,314.899,0,4,0.113,0,0,41.126,0,0,22.212,151,0,30.151,0,4,31.464,0,4
Carrington,47.50865,-99.13215,1561,2020,52.424,0,5,30.657,0,5,41.541,0,5,47.449,0,5,45.326,0,5,8.634,0,5,24.419,0,0,337.385,0,5,0.14,0,0,51.088,0,0,9.447,152,0,32.115,0,8,36.675,0,8
Carrington,47.50865,-99.13215,1561,2021,54.705,0,4,31.864,0,4,43.285,0,4,49.172,0,10,46.82,0,9,8.63,0,9,23.905,0,4,328.866,0,7,0.154,0,0,56.294,0,0,12.021,151,0,32.046,0,9,38.655,0,9
