Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
,deg,deg,ft,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,mph,,,mph,,,Lys,,,inch,,,inch,,,inch,,,Degrees F,,,Degrees F,,
Bottineau,48.82076,-100.75944,1479,1994,49.741,0,4,24.891,0,22,37.316,0,24,45.853,0,1,43.173,0,3,8.885,0,0,22.381,0,0,330.911,0,0,0.132,0,0,48.223,0,0,15.22,151,0,28.483,0,4,31.269,0,3
Bottineau,48.82076,-100.75944,1479,1995,47.589,0,5,25.196,1,21,36.452,1,24,45.325,0,1,43.017,0,5,8.994,0,1,22.31,0,0,316.764,0,1,0.116,0,0,42.395,0,0,10.7,151,1,29.781,0,3,30.115,0,3
Bottineau,48.82076,-100.75944,1479,1996,44.319,0,6,21.904,0,42,33.111,0,42,43.725,0,0,41.553,0,1,8.993,0,0,22.049,0,0,316.497,0,0,0.111,0,0,40.68,0,0,10.76,152,2,26.332,0,5,26.235,0,4
Bottineau,48.82076,-100.75944,1479,1997,50.584,0,5,26.179,0,29,38.382,0,29,45.206,0,0,43.53,0,1,9.263,0,2,23.408,0,2,320.708,0,0,0.137,0,0,50.008,0,0,10.64,151,1,29.144,0,33,31.971,0,7
Bottineau,48.82076,-100.75944,1479,1998,51.119,0,42,28.779,0,19,39.949,0,57,46.865,0,0,45.436,0,0,8.298,0,4,20.694,0,4,320.672,0,1,0.123,0,0,44.731,0,0,16.2,151,0,32.605,0,0,34.686,0,4
Bottineau,48.82076,-100.75944,1479,1999,51.273,1,27,29.456,1,0,40.365,1,27,46.003,0,0,44.549,0,1,9.844,0,0,23.744,0,0,333.023,0,0,0.129,0,0,47.089,0,0,15.179,151,17,32.746,0,0,34.494,0,0
Bottineau,48.82076,-100.75944,1479,2000,50.27,0,0,26.632,0,0,38.451,0,0,47.274,0,4,44.772,0,3,9.01,0,3,22.532,0,0,329.669,0,3,0.124,0,0,45.296,0,0,12.869,152,6,31.004,0,3,32.601,0,3
Bottineau,48.82076,-100.75944,1479,2001,51.362,0,0,26.457,0,0,38.91,0,0,47.666,0,1,44.656,0,0,8.476,0,0,21.569,0,0,344.662,0,0,0.135,0,0,49.198,0,0,7.67,151,8,30.935,0,1,33.784,0,1
Bottineau,48.82076,-100.75944,1479,2002,49.468,0,0,25.341,0,0,37.405,0,0,45.408,0,1,42.819,0,2,8.786,0,1,22.452,0,0,333.554,0,1,0.129,0,0,47.157,0,0,11.905,151,10,29.238,0,1,31.919,0,1
