Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
,deg,deg,ft,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,mph,,,mph,,,Lys,,,inch,,,inch,,,inch,,,Degrees F,,,Degrees F,,
Linton,46.32716,-100.28146,1973,1994,51.479,0,0,31.119,0,4,41.299,0,4,48.674,0,0,47.324,0,50,11.313,0,0,26.096,0,0,356.108,0,0,0.149,0,0,54.213,0,0,12.33,151,0,32.266,0,2,34.761,0,2
Linton,46.32716,-100.28146,1973,1995,50.619,0,1,31.565,0,7,41.092,0,8,47.655,0,1,45.645,0,169,10.755,0,17,25.418,0,16,330.354,0,1,0.129,0,0,47.212,0,0,18.04,151,1,33.785,0,3,34.551,0,17
Linton,46.32716,-100.28146,1973,1996,48.07,0,4,28.116,0,22,38.093,0,23,46.44,0,10,45.898,0,11,11.583,0,4,26.344,0,2,342.035,0,0,0.14,0,0,51.178,0,0,15.01,152,2,29.325,0,6,30.402,0,9
Linton,46.32716,-100.28146,1973,1997,53.044,0,3,32.042,0,14,42.543,0,14,48.946,0,2,47.728,0,1,11.34,0,11,26.299,0,9,363.564,0,0,0.161,0,0,58.671,0,0,10.51,151,1,32.239,0,2,35.855,0,13
Linton,46.32716,-100.28146,1973,1998,54.832,0,3,35.119,0,8,44.976,0,8,49.7,0,32,48.491,0,40,10.54,0,4,24.312,0,4,338.382,0,1,0.154,0,0,56.177,0,0,16.65,151,0,35.163,0,7,39.169,0,10
Linton,46.32716,-100.28146,1973,1999,55.275,0,6,33.945,0,1,44.61,0,6,49.355,0,152,47.317,0,153,11.223,0,5,26.151,0,5,348.217,0,2,0.156,0,0,56.874,0,0,16.004,151,5,34.458,0,2,38.665,0,6
Linton,46.32716,-100.28146,1973,2000,53.644,0,0,32.069,0,0,42.857,0,0,50.048,0,0,48.306,0,0,11.405,0,0,26.649,0,0,351.569,0,0,0.162,0,0,59.122,0,0,12.17,152,0,32.634,0,0,36.643,0,0
Linton,46.32716,-100.28146,1973,2001,54.668,0,0,33.303,0,0,43.986,0,0,48.361,0,1,47.268,0,1,10.674,0,2,25.382,0,1,369.938,0,1,0.162,0,0,59.174,0,0,15.32,151,9,33.861,0,1,38.062,0,2
Linton,46.32716,-100.28146,1973,2002,54.185,0,0,31.87,0,0,43.028,0,0,47.288,0,4,46.326,0,4,11.275,0,1,26.796,0,0,366.604,0,2,0.171,0,0,62.346,0,0,8.21,151,10,31.566,0,1,36.429,0,1
