Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
,deg,deg,ft,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,Degrees F,,,mph,,,mph,,,Lys,,,inch,,,inch,,,inch,,,Degrees F,,,Degrees F,,
Mooreton,46.22509,-96.89536,983,1991,54.743,0,0,33.101,0,2,43.922,0,2,48.759,0,0,47.742,0,1,8.202,0,11,17.682,0,13,313.112,0,0,0.129,0,0,47.075,0,0,19.54,151,9,36.136,0,1,39.568,0,14
Mooreton,46.22509,-96.89536,983,1992,52.929,0,2,31.92,0,4,42.424,0,6,47.007,0,1,46.525,0,0,7.884,0,20,17.474,0,13,301.707,0,1,0.122,0,0,44.756,0,0,18.129,152,2,34.544,0,2,38.23,0,16
Mooreton,46.22509,-96.89536,983,1993,49.872,0,6,29.713,0,20,39.793,0,20,47.192,0,8,46.466,0,9,8.163,0,15,20.765,0,9,310.723,0,9,0.116,0,0,42.498,0,0,17.84,151,0,31.46,0,11,34.656,0,18
Mooreton,46.22509,-96.89536,983,1994,51.958,0,0,31.577,0,8,41.767,0,8,49.381,0,0,47.74,0,0,8.209,0,0,21.255,0,0,329.704,0,0,0.123,0,0,44.877,0,0,17.68,151,0,34.169,0,1,36.685,0,1
Mooreton,46.22509,-96.89536,983,1995,50.724,0,0,32.034,0,7,41.379,0,7,46.535,0,0,46.403,0,0,8.465,0,0,21.236,0,0,301.374,0,0,0.111,0,0,40.549,0,0,13.005,151,46,35.01,0,0,35.961,0,0
Mooreton,46.22509,-96.89536,983,1996,48.206,0,4,28.279,0,12,38.242,0,13,46.846,0,0,44.739,0,1,8.704,0,0,21.893,0,0,323.188,0,0,0.114,0,0,41.659,0,0,13.14,152,2,31.34,0,0,31.879,0,0
Mooreton,46.22509,-96.89536,983,1997,51.502,0,2,30.842,0,18,41.172,0,18,48.111,0,0,47.294,0,1,8.461,0,5,21.829,0,4,330.938,0,0,0.119,0,0,43.572,0,0,17.61,151,1,34.357,0,4,35.79,0,8
Mooreton,46.22509,-96.89536,983,1998,54.688,0,0,35.955,0,3,45.322,0,3,50.07,0,0,49.322,0,1,7.607,0,6,19.569,0,6,326.831,0,4,0.122,0,0,44.459,0,0,21.37,151,0,37.994,0,0,41.119,0,6
Mooreton,46.22509,-96.89536,983,1999,55.219,0,4,33.953,0,0,44.586,0,4,48.662,0,1,47.057,0,1,8.121,0,1,21.522,0,0,323.001,0,3,0.128,0,0,46.63,0,0,17.766,151,5,36.26,0,1,40.246,0,1
Mooreton,46.22509,-96.89536,983,2000,52.717,0,0,31.274,0,0,41.996,0,0,48.156,0,1,48.406,0,1,8.154,0,6,21.358,0,4,328.684,0,2,0.128,0,0,46.984,0,0,13.97,152,1,34.054,0,3,37.213,0,6
Mooreton,46.22509,-96.89536,983,2001,54.204,0,0,32.515,0,0,43.359,0,0,50.176,0,4,48.733,0,32,8.209,0,1,21.369,0,0,343.287,0,2,0.126,0,0,46.066,0,0,15.39,151,46,36.017,0,2,38.499,0,2
Mooreton,46.22509,-96.89536,983,2002,53.741,0,0,32.391,0,0,43.066,0,0,46.568,0,0,45.8,0,0,8.524,0,0,21.993,0,0,336.462,0,4,0.133,0,0,48.591,0,0,16.872,151,44,34.572,0,1,37.735,0,1
Mooreton,46.22509,-96.89536,983,2003,54.046,0,0,31.375,0,0,42.711,0,0,46.149,0,1,44.908,0,1,8.172,0,1,21.413,0,0,339.85,0,5,0.136,0,0,49.566,0,0,15.238,154,7,33.559,0,2,37.589,0,2
Mooreton,46.22509,-96.89536,983,2004,53.546,0,0,31.924,0,0,42.735,0,0,47.117,0,0,46.173,0,0,8.684,0,3,22.367,0,3,332.172,0,5,0.138,0,0,50.555,0,0,20.04,152,0,33.376,0,0,37.749,0,3
Mooreton,46.22509,-96.89536,983,2005,55.061,0,0,33.743,0,0,44.402,0,0,47.571,0,0,45.868,1,0,8.115,14,0,21.558,14,0,306.232,0,3,0.128,0,0,46.718,0,0,23.583,151,1,35.859,1,1,41.263,15,1
