Station Name,Latitude,Longitude,Elevation,Year,Max Temp,Number Missing,Number Estimated,Min Temp,Number Missing,Number Estimated,Avg Temp,Number Missing,Number Estimated,Avg Bare Soil Temp,Number Missing,Number Estimated,Avg Turf Soil Temp,Number Missing,Number Estimated,Avg Wind Speed,Number Missing,Number Estimated,Max Wind Speed,Number Missing,Number Estimated,Total Solar Rad,Number Missing,Number Estimated,Avg Penman PET,Number Missing,Number Estimated,Total Penman PET,Number Missing,Number Estimated,Total Rainfall,Number Missing,Number Estimated,Avg Dew Point,Number Missing,Number Estimated,Avg Wind Chill,Number Missing,Number Estimated
Bowman,46.19958,-103.47303,3004,1994,54.601,0,1,30.126,0,11,42.364,0,11,46.754,0,0,47.384,0,0,9.908,0,7,24.697,0,5,359.65,0,0,0.157,0,0,57.25,0,0,13.24,151,0,31.385,0,0,36.357,0,7
Bowman,46.19958,-103.47303,3004,1995,54.686,0,1,30.49,0,17,42.588,0,17,45.737,0,0,46.152,0,0,9.518,0,3,24.613,0,2,347.762,0,1,0.156,0,0,56.95,0,0,11.08,151,0,31.801,0,47,36.985,0,5
Bowman,46.19958,-103.47303,3004,1996,50.359,0,4,27.154,0,18,38.757,0,18,45.929,0,0,46.326,0,2,9.859,0,0,25.032,0,0,348.79,0,0,0.148,0,0,54.076,0,0,11.67,152,2,28.19,0,0,32.312,0,0
Bowman,46.19958,-103.47303,3004,1997,55.045,0,4,30.974,0,17,43.01,0,17,47.609,0,0,47.238,0,0,10.066,0,6,25.506,0,4,345.353,0,0,0.157,0,0,57.386,0,0,8.44,151,1,31.781,0,1,37.188,0,7
Bowman,46.19958,-103.47303,3004,1998,56.067,1,1,32.868,1,7,44.467,1,8,48.296,0,47,47.526,0,0,9.684,0,8,24.371,0,8,327.988,0,0,0.152,0,0,55.564,0,0,11.65,151,0,33.988,0,1,38.994,0,8
Bowman,46.19958,-103.47303,3004,1999,57.634,0,50,32.641,0,0,45.138,0,50,48.074,0,146,46.941,0,0,9.966,0,0,25.198,0,0,330.742,0,0,0.156,0,0,57.11,0,0,11.796,151,4,33.887,0,0,39.774,0,0
Bowman,46.19958,-103.47303,3004,2000,55.771,0,0,29.865,0,0,42.818,0,0,48.25,0,1,47.414,0,1,10.328,0,3,26.019,0,2,345.686,0,2,0.172,0,0,62.778,0,0,10.07,152,1,30.793,0,1,37.137,0,3
Bowman,46.19958,-103.47303,3004,2001,56.148,0,0,31.514,0,0,43.831,0,0,47.6,0,0,46.885,0,0,9.817,0,4,25.398,0,2,356.985,0,0,0.166,0,0,60.408,0,0,13.86,151,8,32.232,0,0,38.521,0,4
Bowman,46.19958,-103.47303,3004,2002,55.617,0,8,30.07,0,7,42.844,0,8,45.94,0,15,45.81,0,11,10.498,0,13,26.448,0,9,347.765,0,10,0.178,0,0,65.087,0,0,6.35,151,16,29.619,0,11,36.825,0,11
Bowman,46.19958,-103.47303,3004,2003,56.009,0,1,31.106,0,0,43.557,0,1,46.685,0,2,47.269,0,2,10.051,0,7,25.011,0,6,345.173,0,2,0.171,0,0,62.584,0,0,8.908,154,7,30.719,0,2,38.054,0,8
Bowman,46.19958,-103.47303,3004,2004,55.505,0,1,30.653,0,2,43.079,0,2,46.553,0,5,46.582,0,5,10.379,0,7,25.816,0,7,356.98,0,3,0.171,0,0,62.699,0,0,11.61,152,0,30.697,0,4,37.678,0,7
Bowman,46.19958,-103.47303,3004,2005,56.4,0,0,31.593,0,0,43.997,0,0,47.017,0,2,46.722,1,2,10.471,0,6,25.906,0,4,351.037,0,1,0.17,0,0,62.206,0,0,14.126,151,104,31.805,1,3,38.303,1,7
Bowman,46.19958,-103.47303,3004,2006,57.838,0,0,32.577,0,0,45.208,0,0,47.358,0,0,47.49,0,0,10.183,0,4,25.474,0,4,364.028,0,1,0.177,0,0,64.517,0,0,14.543,151,3,32.508,0,0,39.978,0,4
Bowman,46.19958,-103.47303,3004,2007,57.455,0,1,31.382,0,3,44.418,0,3,46.895,0,4,46.449,0,4,10.171,0,4,25.711,0,3,358.279,0,4,0.175,0,0,64.048,0,0,14.31,151,9,32.183,0,4,39.196,0,4
Bowman,46.19958,-103.47303,3004,2008,54.611,0,4,27.837,0,5,41.224,0,5,45.985,0,6,45.523,0,6,10.884,0,6,27.008,0,5,348.656,0,9,0.176,0,0,64.575,0,0,10.138,152,1,28.093,0,6,35.144,0,6
Bowman,46.19958,-103.47303,3004,2009,51.818,0,0,28.355,0,0,40.087,0,0,45.236,0,0,44.585,0,0,10.241,0,9,24.737,0,9,350.781,0,1,0.147,0,0,53.751,0,0,10.971,151,1,30.047,0,2,33.665,0,10
Bowman,46.19958,-103.47303,3004,2010,52.729,0,6,30,0,6,41.365,0,6,46.456,0,7,46.344,0,7,9.661,0,12,23.88,0,11,344.873,0,6,0.142,0,0,51.95,0,0,15.791,155,1,32.294,0,7,35.68,0,12
Bowman,46.19958,-103.47303,3004,2011,53.705,0,0,29.886,0,0,41.796,0,0,46.269,0,0,45.993,0,0,10.092,0,0,24.986,0,0,344.095,0,0,0.147,0,0,53.52,0,0,19.236,151,0,31.648,0,1,35.534,0,1
Bowman,46.19958,-103.47303,3004,2012,60.111,0,0,32.309,0,1,46.21,0,1,48.364,0,0,48.797,0,0,9.84,0,5,25.469,0,5,365.391,0,0,0.2,0,0,73.382,0,0,8.939,152,0,30.609,0,0,41.554,0,5
Bowman,46.19958,-103.47303,3004,2013,54.208,0,0,30.115,0,1,42.162,0,1,46.705,0,1,46.14,0,1,10.16,0,1,25.398,0,0,347.729,0,1,0.151,0,0,55.079,0,0,28.143,151,14,31.963,0,1,35.865,0,1
Bowman,46.19958,-103.47303,3004,2014,53.103,0,0,29.101,0,1,41.102,0,1,45.89,0,1,45.32,0,1,10.297,0,1,25.243,0,1,332.113,0,1,0.14,0,0,50.973,0,0,17.504,151,1,31.549,0,1,34.804,0,1
Bowman,46.19958,-103.47303,3004,2015,58.601,0,1,31.668,0,1,45.135,0,1,47.319,0,1,46.082,0,1,8.945,0,0,24.32,0,0,349.495,0,0,0.162,0,0,59.055,0,0,14.848,151,0,33.403,0,1,40.026,0,1
Bowman,46.19958,-103.47303,3004,2016,60.069,0,0,32.953,0,1,46.511,0,1,48.984,0,0,47.407,0,0,9.629,0,0,25.928,0,0,354.603,0,0,0.177,0,0,64.703,0,0,13.598,152,0,34.29,0,0,41.447,0,0
Bowman,46.19958,-103.47303,3004,2017,57.216,0,2,30.772,0,3,43.994,0,3,48.765,0,5,46.685,0,4,9.49,0,4,25.372,0,0,354.625,0,5,0.176,0,0,64.257,0,0,6.832,151,0,30.921,0,5,38.882,0,5
Bowman,46.19958,-103.47303,3004,2018,52.805,0,0,28.458,0,2,40.632,0,2,46.036,0,2,45.603,0,2,8.466,0,2,23.483,0,0,344.312,0,2,0.138,0,0,50.408,0,0,12.593,151,0,31.279,0,2,35.338,0,2
