Year,Max Temp,Min Temp,Avg Temp,Avg Bare Soil Temp,Avg Turf Soil Temp,Avg Wind Speed,Max Wind Speed,Total Solar Rad,Total Penman PET,Avg Penman PET,Total Rainfall,Avg Dew Point,Avg Wind Chill,Period
1990,48.439,32.288,40.3640,45.438,42.042,11.996,23.594,326.653,0.781,0.112,0.547,32.509,30.829,WEEK #16
1990,64.446,34.194,49.3200,51.547,50.025,9.433,19.440,531.611,1.882,0.269,0.000,30.862,46.617,WEEK #17
1990,62.839,34.959,48.8990,55.401,49.449,9.671,21.085,512.967,1.870,0.267,0.157,26.558,45.226,WEEK #18
1990,61.808,37.936,49.8720,54.401,50.424,13.050,23.344,431.389,1.488,0.213,0.286,36.339,46.101,WEEK #19
1990,75.169,49.681,62.4250,64.572,62.184,9.602,20.403,497.230,1.937,0.277,0.540,45.554,61.477,WEEK #20
1990,71.484,47.617,59.5510,62.831,60.781,13.693,27.389,476.596,1.771,0.253,2.670,47.598,57.050,WEEK #21
1990,75.347,52.615,63.9810,65.254,63.513,12.481,25.046,524.601,1.863,0.266,0.510,53.204,63.977,WEEK #22
1990,72.991,50.969,61.9800,67.917,63.792,7.830,20.342,473.043,1.404,0.201,0.920,53.879,61.761,WEEK #23
1990,79.733,54.618,67.1760,72.823,68.032,8.532,19.817,607.522,1.885,0.269,0.590,56.995,66.957,WEEK #24
1990,85.452,62.847,74.1500,78.435,74.307,7.503,21.255,613.995,1.800,0.257,3.610,66.251,74.455,WEEK #25
1990,78.173,56.678,67.4250,77.276,71.800,9.092,18.674,525.965,1.590,0.227,0.170,59.756,67.729,WEEK #26
1990,78.157,52.402,65.2790,74.712,71.100,6.861,15.280,478.121,1.594,0.228,0.800,54.172,65.411,WEEK #27
1990,75.357,50.939,63.1480,75.418,69.343,6.140,13.300,562.495,1.524,0.218,0.470,54.254,63.419,WEEK #28
1990,80.924,57.819,69.3710,78.767,72.877,7.989,16.237,530.015,1.656,0.237,0.280,59.848,69.059,WEEK #29
1990,85.527,53.319,69.4230,79.563,74.022,7.752,15.680,599.204,2.295,0.328,0.000,53.509,69.936,WEEK #30
1990,78.625,51.196,64.9110,74.550,69.991,6.566,13.796,457.756,1.693,0.242,0.150,51.051,64.757,WEEK #31
1990,80.135,55.938,68.0370,75.877,70.834,8.457,16.929,480.749,1.808,0.258,0.000,56.430,68.525,WEEK #32
1990,84.233,59.054,71.6440,76.983,71.223,7.598,18.110,448.820,1.509,0.216,0.540,62.004,70.383,WEEK #33
1990,86.995,54.197,70.5960,77.281,72.886,7.539,17.545,505.693,2.149,0.307,0.129,50.842,70.902,WEEK #34
1990,80.083,53.649,66.8660,72.102,69.455,6.600,18.633,428.587,1.502,0.215,0.901,53.208,66.024,WEEK #35
1990,74.619,44.857,59.7380,68.457,64.587,8.638,18.555,386.337,1.557,0.222,0.138,46.543,59.753,WEEK #36
1990,65.742,39.895,52.8190,58.234,54.952,8.176,16.733,337.962,1.210,0.173,0.764,40.467,51.134,WEEK #37
1990,67.193,39.024,53.1080,58.878,54.383,6.928,15.974,306.325,1.257,0.180,0.186,35.525,50.489,WEEK #38
1990,59.643,33.557,46.6000,54.165,48.734,10.163,23.539,285.007,1.403,0.200,0.009,26.063,41.181,WEEK #39
1990,57.635,30.253,43.9440,50.790,45.901,9.952,20.957,276.713,1.274,0.182,0.024,24.620,39.907,WEEK #40
1990,46.890,25.525,36.2080,42.596,39.347,10.534,20.816,222.671,0.688,0.098,0.755,27.220,29.670,WEEK #41
1990,59.445,27.795,43.6200,46.652,43.019,10.556,24.163,247.765,1.234,0.176,0.000,25.359,37.690,WEEK #42
1990,48.013,24.271,36.1420,43.546,39.865,10.022,20.448,168.531,0.650,0.093,0.000,25.700,29.476,WEEK #43
1990,37.838,16.656,27.2470,34.072,30.019,9.301,18.358,170.744,0.615,0.088,,12.145,16.879,WEEK #44
1990,52.858,23.573,38.2150,38.541,35.584,8.556,16.818,133.177,0.761,0.109,,22.694,30.155,WEEK #45
1990,35.792,15.900,25.8460,34.641,29.308,13.332,26.682,96.575,0.482,0.069,,13.908,12.253,WEEK #46
1990,28.155,4.791,16.4730,26.966,25.347,10.470,20.283,112.591,0.399,0.057,,7.064,4.160,WEEK #47
1990,40.508,18.924,29.7160,33.534,29.329,10.690,19.623,113.809,0.372,0.053,,23.046,20.275,WEEK #48
1990,30.261,8.675,19.4680,26.462,26.461,9.292,17.142,111.637,0.225,0.032,,13.748,8.610,WEEK #49
1990,-0.994,-16.857,-8.9260,18.651,18.748,14.038,23.389,84.755,0.121,0.017,,-15.324,-31.520,WEEK #50
1990,2.362,-19.360,-8.4990,14.540,12.326,11.735,22.996,105.016,0.150,0.021,,-16.497,-29.328,WEEK #51
1991,4.537,-14.697,-5.0800,13.227,11.928,10.461,18.832,130.280,0.149,0.021,,-13.428,-23.534,WEEK #00
1991,18.335,-1.727,8.3040,19.205,17.895,8.415,16.396,108.224,0.134,0.019,,5.023,-2.932,WEEK #01
1991,28.207,5.303,16.7550,24.048,21.601,11.038,20.566,122.693,0.244,0.035,,13.935,6.143,WEEK #02
1991,18.387,-4.283,7.0520,15.267,17.385,12.077,22.781,130.277,0.226,0.032,,2.317,-7.277,WEEK #03
1991,35.942,12.025,23.9830,23.774,21.945,11.196,20.963,188.493,0.439,0.063,,17.269,13.038,WEEK #04
1991,41.497,19.526,30.5110,33.664,31.557,9.197,17.994,189.705,0.583,0.083,,19.861,21.720,WEEK #05
1991,25.875,5.869,15.8720,27.394,26.635,9.967,17.402,169.474,0.288,0.041,,8.814,3.710,WEEK #06
1991,30.032,6.671,18.3520,30.215,27.498,8.230,15.287,229.993,0.300,0.043,,11.903,8.647,WEEK #07
1991,27.627,5.202,16.4150,29.180,25.282,9.590,18.045,260.840,0.333,0.048,,10.079,3.551,WEEK #08
1991,36.129,13.159,24.6440,30.762,26.852,11.856,23.942,268.487,0.520,0.074,,18.853,14.433,WEEK #09
1991,41.302,24.083,32.6920,35.119,30.830,7.249,15.211,257.111,0.470,0.067,,26.620,25.547,WEEK #10
1991,50.440,28.169,39.3050,39.103,33.922,10.101,19.101,248.783,0.787,0.112,,30.560,32.002,WEEK #11
1991,45.044,17.478,31.2610,37.776,33.969,11.085,22.091,388.653,1.167,0.167,0.000,14.261,21.217,WEEK #12
1991,69.659,36.510,53.0850,54.094,46.692,9.322,19.649,379.801,2.084,0.298,0.006,26.142,51.583,WEEK #13
1991,46.382,29.932,38.1570,44.149,42.098,10.990,19.509,254.269,0.950,0.136,0.480,24.719,31.889,WEEK #14
1991,53.614,27.478,40.5460,48.386,43.371,7.826,16.693,403.295,1.094,0.156,0.020,26.709,36.224,WEEK #15
1991,62.525,38.563,50.5450,53.474,48.638,14.810,27.616,319.678,1.423,0.203,1.190,37.389,45.675,WEEK #16
1991,38.804,30.496,34.6500,37.988,38.173,14.633,23.558,266.471,0.499,0.071,0.580,30.234,23.957,WEEK #17
1991,75.498,50.122,62.8100,63.529,54.071,13.263,24.389,516.378,1.926,0.275,0.020,50.724,61.865,WEEK #18
1991,73.945,50.079,62.0120,64.941,60.442,11.271,21.667,512.389,1.941,0.277,0.880,47.244,61.116,WEEK #19
1991,77.787,54.536,66.1610,69.383,65.383,8.265,17.810,500.493,1.513,0.216,3.070,57.803,65.229,WEEK #20
1991,78.016,53.603,65.8090,74.599,68.197,7.910,17.830,556.694,1.758,0.251,0.020,56.385,66.127,WEEK #21
1991,74.315,56.539,65.4270,70.591,67.301,9.921,18.498,443.908,1.302,0.186,1.120,59.229,65.078,WEEK #22
1991,81.917,58.049,69.9830,74.240,72.849,9.908,20.787,620.897,2.151,0.307,2.370,58.959,69.893,WEEK #23
1991,73.153,53.680,63.4160,68.634,67.966,9.530,19.712,466.868,1.368,0.195,0.470,56.582,63.467,WEEK #24
1991,74.758,59.836,67.2970,69.819,69.015,9.189,23.517,384.614,1.104,0.158,1.690,61.735,66.528,WEEK #25
1991,74.732,54.883,64.8080,69.590,68.349,8.643,19.709,505.232,1.353,0.193,0.290,58.589,64.666,WEEK #26
1991,81.631,57.007,69.3190,74.139,73.360,7.077,16.000,596.035,1.705,0.244,1.540,62.059,69.797,WEEK #27
1991,83.729,59.165,71.4470,76.802,74.615,7.874,19.450,570.211,1.811,0.259,1.590,62.717,71.915,WEEK #28
1991,77.265,50.667,63.9660,73.101,70.634,6.683,14.765,601.526,1.680,0.240,0.030,54.913,64.331,WEEK #29
1991,78.409,52.114,65.2610,71.679,69.303,7.216,16.577,446.562,1.482,0.212,0.610,55.022,64.614,WEEK #30
